😀	grand sourire
😃	sourire heureux
😄	sourire mignon
😁	sourire de toutes ses dents
😆	visage souriant avec bouche ouverte et yeux fermes
😅	sourire nerveux
🤣	se rouler par terre de rire
😂	rire aux larmes
🙂	leger sourire
🙃	tete a lenvers
😉	visage faisant un clin doeil
😊	visage souriant avec yeux souriants
😇	aureole
🥰	visage souriant avec trois coeurs
😍	visage souriant avec yeux en forme de coeur
🤩	visage en admiration devant les stars
😘	bisou et coeur
😗	petit bisou
☺️	smiley emoji
😚	bisou les yeux fermes
😙	gros bisou
🥲	visage souriant avec une larme
😋	miam
😛	visage qui tire la langue
😜	visage qui tire la langue et fait un clin doeil
🤪	visage fou
😝	visage qui tire la langue et ferme les yeux
🤑	argent dans les yeux et la bouche
🤗	visage qui fait un calin
🤭	visage avec main sur la bouche
🤫	visage chut
🤔	visage en pleine reflexion
🤐	visage avec bouche cousue
🤨	visage avec un sourcil releve
😐	sans commentaires
😑	visage sans expression
😶	pas de bouche
😏	sourire malin
😒	visage blase
🙄	rouler des yeux
😬	visage grimacant
🤥	menteur
😌	visage soulage
😔	visage pensif
😪	visage endormi
🤤	baver
😴	visage somnolent
😷	visage avec masque
🤒	visage avec thermometre
🤕	bandage de tete
🤢	ecoeure
🤮	visage qui vomit
🤧	eternuement
🥵	visage en sueur chaud
🥶	visage froid
🥴	visage abasourdi
😵	visage avec le tournis
🤯	visage avec tete qui explose
🤠	cowboy
🥳	visage qui fait la fete
🥸	visage deguise
😎	cool
🤓	visage de geek
🧐	visage avec monocle
😕	visage confus
😟	visage inquiet
🙁	visage legerement mecontent
☹️	visage mecontent
😮	epate
😯	visage sans voix
😲	visage stupefait
😳	visage qui rougit
🥺	visage suppliant
😦	visage decu avec bouche ouverte
😧	visage angoisse
😨	visage effraye
😰	visage en sueur bouche ouverte
😥	ouf
😢	larme
😭	visage qui pleure a chaudes larmes
😱	visage qui hurle de peur
😖	visage deconcerte
😣	visage perseverant
😞	visage decu
😓	visage et sueur froide
😩	visage epuise
😫	visage fatigue
🥱	visage baillant
😤	visage avec fumee sortant des narines
😡	visage enerve
😠	en colere
🤬	visage gros mots visage en hurlant des jurons
😈	visage souriant avec des cornes
👿	diablotin mauvais
💀	crane
☠️	tete de mort
💩	tas de crotte
🤡	clown
👹	ogre japonais
👺	monstre japonais
👻	fantome
👽	alien
👾	monstre de lespace
🤖	visage de robot
😺	chat qui sourit
😸	chat grand sourire
😹	chat qui rit
😻	chat amoureux
😼	chat ironique
😽	chat qui embrasse
🙀	chat inquiet
😿	chat qui pleure
😾	chat en colere
🙈	singe aveugle
🙉	singe sourd
🙊	singe muet
💋	trace de rouge a levres
💌	lettre damour
💘	coeur et fleche
💝	coeur avec ruban
💖	coeur etincelant
💗	coeur grandissant
💓	coeur battant
💞	deux coeurs
💕	petits coeurs
💟	coeur decore
❣️	coeur point d exclamation
💔	coeur brise
❤️	coeur rouge
🧡	coeur orange
💛	coeur jaune
💚	coeur vert
💙	coeur bleu
💜	coeur violet
🤎	coeur marron
🖤	coeur noir
🤍	coeur blanc
💯	cent points
💢	symbole de colere
💥	explosion
💫	voir des etoiles
💦	gouttes de sueur
💨	decamper
🕳️	trou
💣	bombe
💬	bulle de parole
👁️‍🗨️	oeil dans une bulle de bd
🗨️	bulle gauche
🗯️	bulle colere droite
💭	bulle de pensee
💤	endormi
👋	signe de la main
👋🏻	signe de la main peau 1
👋🏼	signe de la main peau 2
👋🏽	signe de la main peau 3
👋🏾	signe de la main peau 4
👋🏿	signe de la main peau 5
🤚	dos de main levee
🤚🏻	dos de main levee peau 1
🤚🏼	dos de main levee peau 2
🤚🏽	dos de main levee peau 3
🤚🏾	dos de main levee peau 4
🤚🏿	dos de main levee peau 5
🖐️	main levee doigts ecartes
🖐🏻	main levee doigts ecartes peau 1
🖐🏼	main levee doigts ecartes peau 2
🖐🏽	main levee doigts ecartes peau 3
🖐🏾	main levee doigts ecartes peau 4
🖐🏿	main levee doigts ecartes peau 5
✋	main levee
✋🏻	main levee peau 1
✋🏼	main levee peau 2
✋🏽	main levee peau 3
✋🏾	main levee peau 4
✋🏿	main levee peau 5
🖖	salut vulcain
🖖🏻	salut vulcain peau 1
🖖🏼	salut vulcain peau 2
🖖🏽	salut vulcain peau 3
🖖🏾	salut vulcain peau 4
🖖🏿	salut vulcain peau 5
👌	ok
👌🏻	ok peau 1
👌🏼	ok peau 2
👌🏽	ok peau 3
👌🏾	ok peau 4
👌🏿	ok peau 5
🤌	bout des doigts joints
🤌🏻	bout des doigts joints%e2%80%af peau claire
🤌🏼	bout des doigts joints%e2%80%af peau moyennement claire
🤌🏽	bout des doigts joints%e2%80%af peau legerement mate
🤌🏾	bout des doigts joints%e2%80%af peau mate
🤌🏿	bout des doigts joints%e2%80%af peau foncee
🤏	pouce et index rapproches
🤏🏻	pouce et index rapproches%e2%80%af peau claire
🤏🏼	pouce et index rapproches%e2%80%af peau moyennement claire
🤏🏽	pouce et index rapproches%e2%80%af peau legerement mate
🤏🏾	pouce et index rapproches%e2%80%af peau mate
🤏🏿	pouce et index rapproches%e2%80%af peau foncee
✌️	v de la victoire
✌🏻	v de la victoire peau 1
✌🏼	v de la victoire peau 2
✌🏽	v de la victoire peau 3
✌🏾	v de la victoire peau 4
✌🏿	v de la victoire peau 5
🤞	doigts croises
🤞🏻	doigts croises peau 1
🤞🏼	doigts croises peau 2
🤞🏽	doigts croises peau 3
🤞🏾	doigts croises peau 4
🤞🏿	doigts croises peau 5
🤟	je taime en langage des signes
🤟🏻	je taime en langage des signes peau 1
🤟🏼	je taime en langage des signes peau 2
🤟🏽	je taime en langage des signes peau 3
🤟🏾	je taime en langage des signes peau 4
🤟🏿	je taime en langage des signes peau 5
🤘	cornes avec les doigts
🤘🏻	cornes avec les doigts peau 1
🤘🏼	cornes avec les doigts peau 2
🤘🏽	cornes avec les doigts peau 3
🤘🏾	cornes avec les doigts peau 4
🤘🏿	cornes avec les doigts peau 5
🤙	appel
🤙🏻	appel peau 1
🤙🏼	appel peau 2
🤙🏽	appel peau 3
🤙🏾	appel peau 4
🤙🏿	appel peau 5
👈	index a gauche
👈🏻	index a gauche peau 1
👈🏼	index a gauche peau 2
👈🏽	index a gauche peau 3
👈🏾	index a gauche peau 4
👈🏿	index a gauche peau 5
👉	index a droite
👉🏻	index a droite peau 1
👉🏼	index a droite peau 2
👉🏽	index a droite peau 3
👉🏾	index a droite peau 4
👉🏿	index a droite peau 5
👆	main vers le haut
👆🏻	main vers le haut peau 1
👆🏼	main vers le haut peau 2
👆🏽	main vers le haut peau 3
👆🏾	main vers le haut peau 4
👆🏿	main vers le haut peau 5
🖕	doigt dhonneur
🖕🏻	doigt dhonneur peau 1
🖕🏼	doigt dhonneur peau 2
🖕🏽	doigt dhonneur peau 3
🖕🏾	doigt dhonneur peau 4
🖕🏿	doigt dhonneur peau 5
👇	index en bas
👇🏻	index en bas peau 1
👇🏼	index en bas peau 2
👇🏽	index en bas peau 3
👇🏾	index en bas peau 4
👇🏿	index en bas peau 5
☝️	doigt vers le haut
☝🏻	doigt vers le haut peau 1
☝🏼	doigt vers le haut peau 2
☝🏽	doigt vers le haut peau 3
☝🏾	doigt vers le haut peau 4
☝🏿	doigt vers le haut peau 5
👍	pouce leve
👍🏻	pouce leve peau 1
👍🏼	pouce leve peau 2
👍🏽	pouce leve peau 3
👍🏾	pouce leve peau 4
👍🏿	pouce leve peau 5
👎	pouce baisse
👎🏻	pouce baisse peau 1
👎🏼	pouce baisse peau 2
👎🏽	pouce baisse peau 3
👎🏾	pouce baisse peau 4
👎🏿	pouce baisse peau 5
✊	poing leve
✊🏻	poing leve peau 1
✊🏼	poing leve peau 2
✊🏽	poing leve peau 3
✊🏾	poing leve peau 4
✊🏿	poing leve peau 5
👊	coup de poing
👊🏻	coup de poing peau 1
👊🏼	coup de poing peau 2
👊🏽	coup de poing peau 3
👊🏾	coup de poing peau 4
👊🏿	coup de poing peau 5
🤛	poing a gauche
🤛🏻	poing a gauche peau 1
🤛🏼	poing a gauche peau 2
🤛🏽	poing a gauche peau 3
🤛🏾	poing a gauche peau 4
🤛🏿	poing a gauche peau 5
🤜	poing a droite
🤜🏻	poing a droite peau 1
🤜🏼	poing a droite peau 2
🤜🏽	poing a droite peau 3
🤜🏾	poing a droite peau 4
🤜🏿	poing a droite peau 5
👏	applaudissements
👏🏻	applaudissements peau 1
👏🏼	applaudissements peau 2
👏🏽	applaudissements peau 3
👏🏾	applaudissements peau 4
👏🏿	applaudissements peau 5
🙌	hourra
🙌🏻	hourra peau 1
🙌🏼	hourra peau 2
🙌🏽	hourra peau 3
🙌🏾	hourra peau 4
🙌🏿	hourra peau 5
👐	mains ouvertes
👐🏻	mains ouvertes peau 1
👐🏼	mains ouvertes peau 2
👐🏽	mains ouvertes peau 3
👐🏾	mains ouvertes peau 4
👐🏿	mains ouvertes peau 5
🤲	paumes vers le haut
🤲🏻	paumes vers le haut peau 1
🤲🏼	paumes vers le haut peau 2
🤲🏽	paumes vers le haut peau 3
🤲🏾	paumes vers le haut peau 4
🤲🏿	paumes vers le haut peau 5
🤝	poignee de main
🙏	mains en priere
🙏🏻	mains en priere peau 1
🙏🏼	mains en priere peau 2
🙏🏽	mains en priere peau 3
🙏🏾	mains en priere peau 4
🙏🏿	mains en priere peau 5
✍️	main qui ecrit
✍🏻	main qui ecrit peau 1
✍🏼	main qui ecrit peau 2
✍🏽	main qui ecrit peau 3
✍🏾	main qui ecrit peau 4
✍🏿	main qui ecrit peau 5
💅	vernis a ongles
💅🏻	vernis a ongles peau 1
💅🏼	vernis a ongles peau 2
💅🏽	vernis a ongles peau 3
💅🏾	vernis a ongles peau 4
💅🏿	vernis a ongles peau 5
🤳	selfie
🤳🏻	selfie peau 1
🤳🏼	selfie peau 2
🤳🏽	selfie peau 3
🤳🏾	selfie peau 4
🤳🏿	selfie peau 5
💪	biceps contractes
💪🏻	biceps contractes peau 1
💪🏼	biceps contractes peau 2
💪🏽	biceps contractes peau 3
💪🏾	biceps contractes peau 4
💪🏿	biceps contractes peau 5
🦾	bras mecanique
🦿	jambe mecanique
🦵	jambe
🦵🏻	jambe peau 1
🦵🏼	jambe peau 2
🦵🏽	jambe peau 3
🦵🏾	jambe peau 4
🦵🏿	jambe peau 5
🦶	pied
🦶🏻	pied peau 1
🦶🏼	pied peau 2
🦶🏽	pied peau 3
🦶🏾	pied peau 4
🦶🏿	pied peau 5
👂	oreille
👂🏻	oreille peau 1
👂🏼	oreille peau 2
👂🏽	oreille peau 3
👂🏾	oreille peau 4
👂🏿	oreille peau 5
🦻	oreille appareillee
🦻🏻	oreille appareillee%e2%80%af peau claire
🦻🏼	oreille appareillee%e2%80%af peau moyennement claire
🦻🏽	oreille appareillee%e2%80%af peau legerement mate
🦻🏾	oreille appareillee%e2%80%af peau mate
🦻🏿	oreille appareillee%e2%80%af peau foncee
👃	nez
👃🏻	nez peau 1
👃🏼	nez peau 2
👃🏽	nez peau 3
👃🏾	nez peau 4
👃🏿	nez peau 5
🧠	cerveau
🫀	coeur
🫁	poumons
🦷	dent
🦴	os 2
👀	yeux
👁️	oeil
👅	langue
👄	bouche
👶	bebe
👶🏻	bebe peau 1
👶🏼	bebe peau 2
👶🏽	bebe peau 3
👶🏾	bebe peau 4
👶🏿	bebe peau 5
🧒	enfant
🧒🏻	enfant peau 1
🧒🏼	enfant peau 2
🧒🏽	enfant peau 3
🧒🏾	enfant peau 4
🧒🏿	enfant peau 5
👦	garcon
👦🏻	garcon peau 1
👦🏼	garcon peau 2
👦🏽	garcon peau 3
👦🏾	garcon peau 4
👦🏿	garcon peau 5
👧	fille
👧🏻	fille peau 1
